7zip 26.01-1
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.15.0-1
libngtcp2 1.22.1-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.56.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libnvme 1.16.1-3
liboauth 1:1.0.3+r16+gc26f038-2
libobjc 16.1.1+r12+g301eb08fa2c5-1
libogg 1.3.6-1
libopenmpt 0.8.7-1
libosinfo 1.12.0-3
libp11-kit 0.26.2-1
libpamac 11.7.4-4
libpamac-flatpak-plugin 11.7.4-4
libpamac-snap-plugin 11.7.4-4
libpaper 2.2.8-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpeas 1.38.1-1
libpgm 5.3.128-4
libphonenumber 1:9.0.31-1
libpipeline 1.5.8-1
libpipewire 1:1.6.5-2
libplacebo 7.360.1-2
libplasma 6.6.5-1
libplist 2.7.0-3
libpng 1.6.58-1
libportal 0.9.1-3
libportal-gtk3 0.9.1-3
libportal-gtk4 0.9.1-3
libppd 2.1.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libpwquality 1.4.5-7
libqaccessibilityclient-qt6 0.6.0-4
libqalculate 5.11.0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.1.1+r12+g301eb08fa2c5-1
libraqm 0.10.5-1
libraw 0.22.1-1
libraw1394 2.1.2-4
librest 0.10.2-1
librsvg 2:2.62.2-1
librttopo 1.1.0-6
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libshumate 1.6.1-1
libsidplayfp 2.16.1-1
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libsixel 1.10.5-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-4
libspatialite 5.1.0-4
libspectre 0.2.12-2
libspeechd 0.12.1-3
libspelling 0.4.10-1
libspiro 1:20240903-1
libsrtp 1:2.8.0-1
libssc 0.4.2-1
libssh 0.12.0-1
libssh2 1.11.1-1
libstdc++ 16.1.1+r12+g301eb08fa2c5-1
libstemmer 3.1.0-1
libsynctex 2026.0-1
libsysprof-capture 50.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-2
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.0+r23+gb08cb0a0-1
libtsan 16.1.1+r12+g301eb08fa2c5-1
libubsan 16.1.1+r12+g301eb08fa2c5-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
libupnp 1.14.31-1
liburcu 0.15.6-1
liburing 2.14-1
libusb 1.0.30-1
libusb-compat 0.1.9-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.23.0-1
libva-intel-driver 2.4.1-7
libva-utils 2.22.0-1
libvdpau 1.5-4
libverto 0.3.2-6
libvlc 3.0.22-4
libvncserver 0.9.15-1
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.16.0-3
libwacom 2.18.0-2
libwbclient 2:4.24.2-1
libwebp 1.6.0-2
libwebsockets 4.5.8-1
libwireplumber 0.5.14-1
libwmf 0.2.15-1
libwnck3 43.3-1
libx11 1.8.13-1
libx86emu 3.7-2
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxklavier 5.4-7
libxml2 2.15.3-1
libxmlb 0.3.27-1
libxmu 1.3.1-1
libxnvctrl 595.71.05-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
licenses 20240728-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-2
lilv 0.26.4-1
linux-api-headers 6.19-1
linux-firmware-amdgpu 20260519-1
linux-firmware-atheros 20260519-1
linux-firmware-broadcom 20260519-1
linux-firmware-cirrus 20260519-1
linux-firmware-intel 20260519-1
linux-firmware-mediatek 20260519-1
linux-firmware-meta 20260410-1
linux-firmware-nvidia 20260519-1
linux-firmware-other 20260519-1
linux-firmware-radeon 20260519-1
linux-firmware-realtek 20260519-1
linux-firmware-whence 20260519-1
linux612 6.12.91-1
linux612-nvidia 595.71.05-9
linux66 6.6.141-1
linux66-nvidia 595.71.05-7
lirc 1:0.10.2-6
lldb 22.1.5-1
llhttp 9.3.1-1
llvm 22.1.5-1
llvm-libs 22.1.5-1
llvm20-libs 20.1.8-1
llvm21 21.1.8-1
llvm21-libs 21.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.1-1
log4cplus 2.1.2-1
logiops 0.3.5-1
logrotate 3.22.0-1
lowdown 3.0.1-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.6-1
lua 5.5.0-2
lua54 5.4.8-6
luajit 2.1.1774896198+18b087c-1
luit 20250912-1
lv2 1.18.10-2
lvm2 2.03.41-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
mailcommon 26.04.1-1
mailimporter 26.04.1-1
make 4.4.1-3
malcontent 0.14.0-4
man-db 2.13.1-1
man-pages 6.18-1
manjaro-alsa 20221002-1
manjaro-application-utility 1.4.1-4
manjaro-base-skel 20171029-4
manjaro-browser-settings 20231111-1
manjaro-hello 0.8.1-5
manjaro-icons 20240502-1
manjaro-kde-settings 20260210-2
manjaro-keyring 20251003-1
manjaro-pipewire 20231009-1
manjaro-printer 20240827-1
manjaro-release 26.1.0pre-1
manjaro-settings-manager 0.5.8-8
manjaro-settings-manager-knotifier 0.5.8-8
manjaro-system 20250814-1
manjaro-wallpapers-18.0 1.4-4
mariadb 12.2.2-2
mariadb-clients 12.2.2-2
mariadb-libs 12.2.2-2
mbedtls 3.6.5-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
memtest86+ 7.20-2
mesa 1:26.1.1-2
mesa-demos 9.0.0-7
mesa-utils 9.0.0-7
messagelib 26.04.1-1
mhwd 0.6.6-6
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db 20260305-1
mhwd-nvidia 595.71.05-1
mhwd-nvidia-390xx 390.157-24
mhwd-nvidia-470xx 470.256.02-17
mhwd-nvidia-580xx 580.159.04-1
micro 2.0.15-2
milou 6.6.5-1
minizip 1:1.3.2-3
mjpegtools 2.2.1-4
mkinitcpio 41-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-openswap 0.1.1-1
mobile-broadband-provider-info 20251101-1
mod_dnssd 0.6-10
modemmanager 1.24.2-1
modemmanager-qt 6.26.0-1
mpd 0.24.12-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mpv 1:0.41.0-3
mtd-utils 2.3.1-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
mtpfs 1.1-5
mujs 1.3.9-1
muparser 2.3.5-2
mutter 50.1-1
nano 9.0-1
nautilus 50.2.2-1
nautilus-python 4.1.0-3
ncurses 6.6-2
neofetch 7.1.0-2
neon 0.37.1-1
net-snmp 5.9.5.2-1
netcdf 4.9.3-4
nettle 4.0-1
networkmanager 1.56.1-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-pptp 1.2.12-7
networkmanager-qt 6.26.0-1
networkmanager-vpn-plugin-openconnect 1.2.10-4
networkmanager-vpn-plugin-openvpn 1.12.5-1
networkmanager-vpn-plugin-pptp 1.2.12-7
networkmanager-vpn-plugin-vpnc 1.4.0-2
networkmanager-vpnc 1.4.0-2
nfs-utils 2.9.1-1
nfsidmap 2.9.1-1
nftables 1:1.1.6-3
nginx 1.30.2-1
nilfs-utils 2.3.0-1
nitrogen 1.6.1-6
nix 2.34.7-1
nix-busybox 1.37.0-1
nlohmann-json 3.12.0-2
noto-fonts 1:2026.05.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.39-1
nss 3.124-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
numlockx 1.2-6
nvidia-driver-assistant 0.23.48.01-6
nvidia-settings 595.71.05-1
nvidia-utils 595.71.05-2
oath-toolkit 2.6.14-3
obs-studio 32.1.2-3
ocean-sound-theme 6.6.5-1
ocl-icd 2.3.4-1
octopi 0.19.0-2
okular 26.04.1-1
onefetch 2.27.1-1
onetbb 2023.0.0-1
oniguruma 6.9.10-1
openal 1.25.2-1
opencl-nvidia 595.71.05-1
openconnect 1:9.12-5
opencore-amr 0.1.6-2
opencv 4.13.0-6
openexr 3.4.12-1
openh264 2.6.0-2
openimagedenoise 2.4.1-2
openjpeg2 2.5.4-1
openjph 0.27.3-1
openresolv 3.17.4-1
openssh 10.3p1-1
openssl 3.6.2-2
openvdb 13.0.0-1
openvpn 2.7.4-1
openxr 1.1.59.1-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.42-1
orca 50.1.2-1
os-prober 1.84-1
osinfo-db 20251212-1
ostree 2025.7-3
otf-aurulent-nerd 3.4.0-2
oxygen 6.6.5-1
oxygen-cursors 6.6.5-1
oxygen-icons 1:6.2.0-1
oxygen5 6.6.5-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrors 5.3-2
pacmanlogviewer 1.5.1-3
pam 1.7.2-2
pamac-cli 11.7.4-2
pamac-gtk 11.7.5-1
pamac-tray-icon-plasma 0.1.3-3
pambase 20250719-1
pango 1:1.57.1-1
pangomm 2.46.4-2
pangomm-2.48 2.56.1-1
parted 3.7-1
partitionmanager 26.04.1-1
passim 0.1.11-1
patch 2.8-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.2-1
perl-alien-build 2.84-4
perl-alien-libxml2 0.20-5
perl-archive-zip 1.68-12
perl-capture-tiny 0.50-4
perl-class-inspector 1.36-10
perl-clone 0.50-1
perl-dbi 1.647-2
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-ffi-checklib 0.31-8
perl-file-basedir 0.09-7
perl-file-chdir 0.1011-6
perl-file-desktopentry 0.23-1
perl-file-listing 6.16-6
perl-file-mimeinfo 0.37-1
perl-file-sharedir 1.118-8
perl-file-which 1.27-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.17-1
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-ipc-system-simple 1.30-9
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-net-http 6.24-2
perl-path-tiny 0.150-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.34-2
perl-www-robotrules 6.03-1
perl-xml-libxml 2.0212-1
perl-xml-namespacesupport 1.12-6
perl-xml-parser 2.59-1
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-xml-writer 0.900-6
pgweb-bin 0.17.0-1
phonon-qt6 4.12.0-6
phonon-qt6-vlc 0.12.0-6
pick-colour-picker 1.51-1
pigz 2.8-2
pimcommon 26.04.1-1
pinentry 1.3.2-2
pipewire 1:1.6.5-2
pipewire-alsa 1:1.6.5-2
pipewire-audio 1:1.6.5-2
pipewire-jack 1:1.6.5-2
pipewire-pulse 1:1.6.5-2
pipewire-v4l2 1:1.6.5-2
pipewire-x11-bell 1:1.6.5-2
pipewire-zeroconf 1:1.6.5-2
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
plasma-activities 6.6.5-1
plasma-activities-stats 6.6.5-1
plasma-browser-integration 6.6.5-1
plasma-desktop 6.6.5-1
plasma-integration 6.6.5-2
plasma-nm 6.6.5-1
plasma-pa 6.6.5-1
plasma-systemmonitor 6.6.5-1
plasma-workspace 6.6.5-2
plasma-workspace-wallpapers 6.6.5-1
plasma5-integration 6.6.5-2
plasma5support 6.6.5-1
plasma6-applets-plasmusic-toolbar 4.1.0-1
plasma6-themes-breath 24.0.0-6
plasma6-themes-breath-migration 24.0.0-6
playerctl 2.4.1-5
podofo 0.10.6-1
polkit 127-3
polkit-kde-agent 6.6.5-1
polkit-qt5 0.201.1-1
polkit-qt6 0.201.1-1
poppler 26.05.0-1
poppler-data 0.4.12-2
poppler-glib 26.05.0-1
poppler-qt6 26.05.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postgresql-libs 18.4-1
powerdevil 6.6.5-1
powertop 2.15-2
ppp 2.5.2-1
pptpclient 1.10.0-3
print-manager 1:6.6.5-1
prison 6.26.0-1
procps-ng 4.0.6-1
proj 9.8.1-1
projectm 3.1.12-5
protobuf 34.1-1
protobuf-c 1.5.2-9
psmisc 23.7-2
pulseaudio-ctl 1.70-2
pulseaudio-qt 1.8.1-1
purpose 6.26.0-2
pyenv 1:2.6.31-1
pyside6 6.11.1-1
python 3.14.5-1
python-argcomplete 3.6.3-1
python-attrs 26.1.0-1
python-brltty 6.9.1-1
python-brotli 1.2.0-1
python-cairo 1.29.0-2
python-capstone 5.0.7-2
python-certifi 2026.05.20-1
python-cffi 2.0.0-2
python-chardet 6.0.0.post1-1
python-charset-normalizer 3.4.7-1
python-click 8.3.3-1
python-contourpy 1.3.3-4
python-cryptography 48.0.0-1
python-cssselect 1.4.0-1
python-cycler 0.12.1-4
python-dasbus 1.7-5
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-docopt 0.6.2-15
python-fido2 2.2.0-1
python-filelock 3.29.0-1
python-fonttools 4.63.0-1
python-gnupg 0.5.6-2
python-gobject 3.56.3-1
python-html5lib 1.1-17
python-idna 3.16-1
python-inflect 7.5.0-2
python-jaraco.classes 3.4.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jeepney 0.9.0-3
python-keyring 25.7.0-3
python-keyutils 0.6-12
python-kiwisolver 1.5.0-1
python-legacy-cgi 2.6.4-2
python-llvmlite 0.47.0-1
python-matplotlib 3.10.9-1
python-more-itertools 11.1.0-1
python-mutagen 1.47.0-4
python-npyscreen 5.0.2-2
python-numba 0.65.1-1
python-numpy 2.4.6-1
python-opengl 3.1.10-3
python-packaging 26.2-1
python-pillow 12.2.0-1
python-pip 26.1.1-1
python-pskc 1.4-1
python-psutil 7.2.2-1
python-pyaudio 0.2.14-5
python-pycparser 3.00-1
python-pycryptodomex 3.23.0-3
python-pyotherside 1.6.2-2
python-pyparsing 3.3.2-1
python-pyqt5 5.15.11-7
python-pyqt5-sip 12.18.0-1
python-pyqt6 6.11.0-2
python-pyqt6-sip 13.11.1-1
python-pyqtgraph 0.14.0-2
python-pyscard 2.3.1-2
python-pysmbc 1.0.25.1-5
python-pytz 2026.1-1
python-pyudev 0.24.4-1
python-pyxattr 0.8.1-5
python-pyxdg 0.28-7
python-reportlab 4.4.10-2
python-requests 2.34.2-1
python-secretstorage 3.5.0-1
python-setproctitle 1.3.7-2
python-six 1.17.0-3
python-suntime 1.3.2-2
python-systemd 235-5
python-typeguard 4.5.2-1
python-typing_extensions 4.15.0-3
python-urllib3 2.7.0-1
python-webencodings 0.5.1-13
python-websockets 16.0-1
python-wheel 0.47.0-1
python-yaml 6.0.3-2
qca-qt6 2.3.10-6
qcoro 0.13.0-2
qgpgme 2.1.0-1
qhull 2020.2-5
qmmp 2.3.2-1
qpdf 12.3.2-2
qqc2-breeze-style 6.6.5-1
qqc2-desktop-style 6.26.0-1
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qt-sudo 2.4.0-2
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-graphicaleffects 5.15.19-1
qt5-imageformats 5.15.19+kde+r2-1
qt5-multimedia 5.15.19+kde+r2-1
qt5-quickcontrols 5.15.19-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-speech 5.15.19+kde+r1-1
qt5-svg 5.15.19+kde+r5-1
qt5-tools 5.15.19+kde+r3-1
qt5-translations 5.15.19-1
qt5-virtualkeyboard 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-websockets 5.15.19+kde+r2-1
qt5-x11extras 5.15.19-1
qt5-xmlpatterns 5.15.19-1
qt6-5compat 6.11.1-1
qt6-base 6.11.1-1
qt6-connectivity 6.11.1-1
qt6-declarative 6.11.1-2
qt6-graphs 6.11.1-1
qt6-imageformats 6.11.1-1
qt6-location 6.11.1-1
qt6-multimedia 6.11.1-1
qt6-multimedia-ffmpeg 6.11.1-1
qt6-positioning 6.11.1-1
qt6-quick3d 6.11.1-1
qt6-quicktimeline 6.11.1-1
qt6-sensors 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-speech 6.11.1-1
qt6-svg 6.11.1-1
qt6-tools 6.11.1-1
qt6-translations 6.11.1-1
qt6-virtualkeyboard 6.11.1-1
qt6-webchannel 6.11.1-1
qt6-webengine 6.11.1-1
qt6-websockets 6.11.1-1
qt6-webview 6.11.1-1
qtermwidget 2.4.0-1
qtkeychain-qt6 0.16.0-1
raptor 2.0.16-9
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
realtime-privileges 5-1
reiserfsprogs 3.6.27-7
reqable-bin 3.1.3-1
rhash 1.4.6-1
rhythmbox 3.4.9-1
ripgrep 15.1.0-3
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
robin-map 1.4.1-1
rpcbind 1.2.8-1
rpi-imager 2.0.9-1
rsync 3.4.3-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
ruby 3.4.8-2
ruby-abbrev 0.1.2-1
ruby-base64 0.3.0-1
ruby-bigdecimal 3.3.1-2
ruby-bundled-gems 3.4.8-2
ruby-bundler 4.0.3-1
ruby-csv 3.3.5-1
ruby-debug 1.11.1-1
ruby-default-gems 3.4.8-2
ruby-drb 2.2.3-1
ruby-erb 4.0.4-9
ruby-getoptlong 0.2.1-1
ruby-irb 1.15.0-1
ruby-matrix 0.4.3-1
ruby-minitest 5.26.1-1
ruby-mutex_m 0.3.0-2
ruby-net-ftp 0.3.9-1
ruby-net-imap 0.5.12-1
ruby-net-pop 0.1.2-5
ruby-net-smtp 0.5.1-1
ruby-nkf 0.2.0-3
ruby-observer 0.1.2-3
ruby-power_assert 2.0.5-4
ruby-prime 0.1.4-1
ruby-racc 1.8.1-2
ruby-rake 13.3.1-1
ruby-rbs 3.8.0-2
ruby-rdoc 6.14.0-1
ruby-repl_type_completor 0.1.15-1
ruby-resolv-replace 0.2.0-1
ruby-rexml 3.4.4-1
ruby-rinda 0.2.0-2
ruby-rss 0.3.2-1
ruby-stdlib 3.4.8-2
ruby-syslog 0.4.0-1
ruby-test-unit 3.7.7-1
ruby-typeprof 0.30.1-2
rubygems 3.6.9-1
run-parts 5.23.2-1
runc 1.4.2-1
rustup 1.29.0-2
rygel 1:45.2-1
s-nail 14.9.25-1
s2n-tls 1.7.2-1
samba 2:4.24.2-1
sane 1.4.0-4
sbc 2.2-1
sddm 0.21.0-7
sddm-breath-theme 24.0.0-6
sddm-kcm 6.6.5-1
sdl2-compat 2.32.68-1
sdl3 3.4.8-1
sdl3_ttf 3.2.2-3
sed 4.10-1
serd 0.32.8-1
serf 1.3.10-2
shaderc 2026.2-1
shadow 4.18.0-1
shared-mime-info 2.4-3
shiboken6 6.11.1-1
signon-kwallet-extension 26.04.1-1
signon-plugin-oauth2 0.25-4
signon-ui 0.17+20231016-4
signond 8.61-4
simde 0.8.2-1
skanlite 26.04.1-1
slang 2.3.3-4
sleuthkit 4.15.0-1
smartmontools 7.5-1
smbclient 2:4.24.2-1
snapd 2.75.2-1
snapd-glib 1.72-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.1-1
solid 6.26.0-1
solid5 5.116.0-2
sonnet 6.26.0-1
sonnet5 5.116.0-2
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-18
spandsp 0.0.6-7
spectacle 1:6.6.5-1
spectre-meltdown-checker 26.33.0420460-1
speech-dispatcher 0.12.1-3
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.350.0-1
splix 2.0.1-2
sqlite 3.53.1-1
squashfs-tools 4.7.5-1
squashfuse 0.6.1-1
sratom 0.6.22-1
srt 1.5.5-1
sshfs 3.7.5-1
starship 1.25.1-1
startup-notification 0.12-9
stoken 0.92-6
stow 2.4.1-1
strace 7.0-1
subversion 1.14.5-5
sudo 1.9.17.p2-2
suitesparse 7.12.2-1
sushi 50.0-1
svt-av1 4.1.0-1
svt-hevc 1.5.1-4
syndication 6.26.0-1
syntax-highlighting 6.26.0-1
sysfsutils 2.1.1-2
systemd 260.1-2
systemd-libs 260.1-2
systemd-sysvcompat 260.1-2
systemsettings 6.6.5-1
taglib 2.3-1
tailscale 1.98.2-1
talloc 2.4.4-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.15-1
tecla 50.0-1
telepathy-glib 0.24.2-5
terminus-font 4.49.1-8
tevent 1:0.17.1-2
texinfo 7.3-1
thin-provisioning-tools 1.3.2-1
threadweaver 6.26.0-1
tilix 1.9.6-9
timeshift 25.12.4-1
tinysparql 3.11.1-1
tk 8.6.16-1
tlp 1.10.0-1
topgrade 17.5.1-1
tor 0.4.9.8-1
torsocks 2.5.0-1
totem-pl-parser 3.26.7-1
tpm2-tss 4.1.3-1
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-droid 20121017-11
ttf-hack 3.003-7
ttf-hack-nerd 3.4.0-2
ttf-inconsolata 1:3.000-5
ttf-indic-otf 0.2-12
ttf-liberation 2.1.5-2
twolame 0.4.0-4
tzdata 2026b-1
uchardet 0.0.8-4
udftools 2.3-3
udiskie 2.6.2-1
udisks2 2.11.1-2
unace 2.5-11
unarchiver 1.10.8-6
unarj 2.65-2
unixodbc 2.3.14-1
unrar 1:7.2.6-1
unzip 6.0-23
update-grub 2:2.14-1
upower 1.91.2-1
usb_modeswitch 2.6.2.20251207-1
usbmuxd 1.1.1-4
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42.1-1
util-linux-libs 2.42.1-1
v4l-utils 1.32.0-2
vapoursynth 75-3
vcdimager 2.0.1-7
verdict 1.4.5-2
vid.stab 1.1.1-2
vivaldi 8.0.4033.35-1
vivaldi-ffmpeg-codecs 148.0.7778.183-1
vlc-plugin-a52dec 3.0.22-4
vlc-plugin-alsa 3.0.22-4
vlc-plugin-archive 3.0.22-4
vlc-plugin-dav1d 3.0.22-4
vlc-plugin-dbus 3.0.22-4
vlc-plugin-dbus-screensaver 3.0.22-4
vlc-plugin-faad2 3.0.22-4
vlc-plugin-flac 3.0.22-4
vlc-plugin-gnutls 3.0.22-4
vlc-plugin-inflate 3.0.22-4
vlc-plugin-journal 3.0.22-4
vlc-plugin-jpeg 3.0.22-4
vlc-plugin-mpg123 3.0.22-4
vlc-plugin-ogg 3.0.22-4
vlc-plugin-opus 3.0.22-4
vlc-plugin-png 3.0.22-4
vlc-plugin-shout 3.0.22-4
vlc-plugin-speex 3.0.22-4
vlc-plugin-tag 3.0.22-4
vlc-plugin-theora 3.0.22-4
vlc-plugin-twolame 3.0.22-4
vlc-plugin-vorbis 3.0.22-4
vlc-plugin-vpx 3.0.22-4
vlc-plugin-xml 3.0.22-4
vlc-plugins-base 3.0.22-4
vmaf 3.1.0-1
volume_key 0.3.12-12
vpnc 1:0.5.3.r557.r241-1
vte-notification-common 0.76.4-2
vte3 0.84.0-1
vte4 0.84.0-1
vulkan-icd-loader 1.4.350.0-1
vulkan-tools 1.4.350.0-1
w3m 0.5.6-1
wavpack 5.9.0-1
wayland 1.25.0-1
wayland-utils 1.3.0-1
webkit2gtk-4.1 2.52.3-1
webkitgtk-6.0 2.52.3-1
webrtc-audio-processing 2.1-6
webrtc-audio-processing-1 1.3-5
wget 1.25.0-5
which 2.23-1
wildmidi 0.4.6-1
wireless-regdb 2026.03.18-1
wireplumber 0.5.14-1
wmctrl 1.07-6
woff2 1.0.2-6
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapian-core 1:2.0.0-2
xapp 3.2.2-1
xapp-symbolic-icons 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xdg-dbus-proxy 0.1.7-1
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gnome 50.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-kde 6.6.5-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xdotool 4.20260303.1-1
xerces-c 3.3.0-4
xf86-input-elographics 1.4.4-2
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-void 1.4.2-2
xfsprogs 7.0.1-1
xkeyboard-config 2.47-1
xmlsec 1.3.11-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.22-2
xorg-server-common 21.1.22-2
xorg-setxkbmap 1.3.5-1
xorg-twm 1.0.13.1-1
xorg-xauth 1.1.5-1
xorg-xdpyinfo 1.4.0-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.5.0-1
xorg-xkill 1.0.7-1
xorg-xmessage 1.0.7-2
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.11-2
xorg-xwininfo 1.1.6-2
xorgproto 2025.1-1
xsettingsd 1.0.2-3
xterm 410-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
yakuake 26.04.1-1
yay 12.5.7-1
yelp 49.1-1
yelp-xsl 49.0-1
yin-yang 4.0.1-4
yt-dlp 2026.03.17-1
yt-dlp-ejs 0.8.0-1
yubico-c 1.13-8
yubico-c-client 2.15-7
yubikey-manager 1:5.9.1-1
yubikey-manager-qt 1.2.5-2
yubikey-personalization 1.20.0-5
yubikey-personalization-gui 3.1.25-4
zbar 0.23.93-5
zeitgeist 1.0.4-7
zenity 4.2.2-1
zensu 0.3-7
zeromq 4.3.5-3
zimg 3.0.6-1
zint 2.16.0-1
zip 3.0-13
zita-convolver 4.0.3-5
zix 0.8.0-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zsh 5.9-6
zstd 1.5.7-3
zvbi 0.2.44-1
