7zip 26.01-1
firefox 151.0.2-1
firefox-developer-edition 152.0b3-1
firefox-developer-edition-i18n-en-us 152.0b3-1
firefox-developer-edition-i18n-uk 152.0b3-1
firefox-i18n-en-us 151.0.2-1
firefox-i18n-uk 151.0.2-1
flac 1.5.0-1
flashrom 1.7.0-1
flatpak 1:1.16.6-1
flex 2.6.4-6
fluidsynth 2.5.4-1
fmt 12.1.0-2
fnm-bin 1.39.0-1
folks 0.15.12-1
fontconfig 2:2.17.1-1
foomatic-db 3:20260209-1
foomatic-db-engine 5:20200131-2
foomatic-db-gutenprint-ppds 5.3.5-1
foomatic-db-nonfree 3:20260209-1
foomatic-db-nonfree-ppds 3:20260209-1
foomatic-db-ppds 3:20260209-1
frameworkintegration 6.26.0-1
frameworkintegration5 5.116.0-3
freeglut 3.8.0-1
freerdp 2:3.26.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
ftgl 2.4.0-3
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
fwupd 2.1.3-1
fwupd-efi 1.8-2
fzf 0.72.0-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 16.1.1+r12+g301eb08fa2c5-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdal 3.13.0-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gdm 50.0-2
gegl 0.4.70-2
geoclue 2.8.1-1
geocode-glib 3.26.4-6
geos 3.14.1-2
gettext 1.0-2
gexiv2 0.16.0-2
ghostscript 10.07.1-1
ghostty 1.3.1-2
ghostty-shell-integration 1.3.1-2
ghostty-terminfo 1.3.1-2
giflib 6.1.3-1
git 2.54.0-1
git-delta 0.19.2-1
github-cli 2.92.0-2
gjs 2:1.88.0-1
glew 2.3.1-1
glib-networking 1:2.80.1-1
glib2 2.88.1-1
glib2-devel 2.88.1-1
glibc 2.43+r22+g8362e8ce10b2-2
glibmm 2.66.8-1
glibmm-2.68 2.88.0-1
glm 1.0.3-1
glslang 1:1.4.350.0-1
glu 9.0.3-3
glycin 2.1.1-1
glycin-gtk4 2.1.1-1
gmp 6.3.0-3
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 50.0-1
gnome-bluetooth-3.0 47.2-1
gnome-browser-connector 42.1-8
gnome-calculator 50.0-1
gnome-calendar 50.0-2
gnome-characters 50.0-1
gnome-clocks 50.0-2
gnome-color-manager 3.36.2-1
gnome-console 50.0-1
gnome-contacts 50.0-1
gnome-control-center 50.1-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-2
gnome-font-viewer 50.0-1
gnome-keybindings 50.1-1
gnome-keyring 1:50.0-1
gnome-logs 50.0-1
gnome-maps 50.1-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-2
gnome-online-accounts 3.58.1-1
gnome-photos 1:44.0-7
gnome-remote-desktop 50.1-1
gnome-session 50.0-1
gnome-settings-daemon 50.1-1
gnome-shell 1:50.1-2
gnome-shell-extensions 50.1-1
gnome-software 50.2-1
gnome-system-monitor 50.0-1
gnome-terminal 3.60.0-1
gnome-text-editor 50.1-1
gnome-themes-extra 1:3.28-1
