7zip 26.01-1
mkinitcpio-openswap 0.1.1-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
mpd 0.24.12-1
mpv 1:0.41.0-3
mtpfs 1.1-5
nano 9.0-1
neofetch 7.1.0-2
networkmanager 1.56.1-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
networkmanager-pptp 1.2.12-7
networkmanager-vpnc 1.4.0-2
nfs-utils 2.9.1-1
nginx 1.30.2-1
nix 2.34.7-1
noto-fonts 1:2026.05.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
numlockx 1.2-6
nvidia-settings 595.71.05-1
nvidia-utils 595.71.05-2
obs-studio 32.1.2-3
octopi 0.19.0-2
okular 26.04.1-1
onefetch 2.27.1-1
openresolv 3.17.4-1
openssh 10.3p1-1
orca 50.1.2-1
os-prober 1.84-1
otf-aurulent-nerd 3.4.0-2
oxygen-icons 1:6.2.0-1
oxygen5 6.6.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pamac-cli 11.7.4-2
pamac-gtk 11.7.5-1
pamac-tray-icon-plasma 0.1.3-3
partitionmanager 26.04.1-1
pciutils 3.15.0-1
perl 5.42.2-1
perl-file-mimeinfo 0.37-1
pgweb-bin 0.17.0-1
pick-colour-picker 1.51-1
plasma-browser-integration 6.6.5-1
plasma-desktop 6.6.5-1
plasma-nm 6.6.5-1
plasma-pa 6.6.5-1
plasma-systemmonitor 6.6.5-1
plasma-workspace 6.6.5-2
plasma-workspace-wallpapers 6.6.5-1
plasma6-applets-plasmusic-toolbar 4.1.0-1
playerctl 2.4.1-5
poppler-data 0.4.12-2
portaudio 1:19.7.0-4
postgresql-libs 18.4-1
powerdevil 6.6.5-1
powertop 2.15-2
print-manager 1:6.6.5-1
procps-ng 4.0.6-1
psmisc 23.7-2
pulseaudio-ctl 1.70-2
pyenv 1:2.6.31-1
python-numpy 2.4.6-1
python-pillow 12.2.0-1
python-pip 26.1.1-1
python-pyaudio 0.2.14-5
python-pyqt5 5.15.11-7
python-pysmbc 1.0.25.1-5
python-reportlab 4.4.10-2
python-websockets 16.0-1
python-wheel 0.47.0-1
qmmp 2.3.2-1
qt5-imageformats 5.15.19+kde+r2-1
qt5-translations 5.15.19-1
qt5-virtualkeyboard 5.15.19-1
qt5-websockets 5.15.19+kde+r2-1
reiserfsprogs 3.6.27-7
reqable-bin 3.1.3-1
rhythmbox 3.4.9-1
rpi-imager 2.0.9-1
rsync 3.4.3-1
rustup 1.29.0-2
rygel 1:45.2-1
s-nail 14.9.25-1
samba 2:4.24.2-1
sddm 0.21.0-7
sddm-kcm 6.6.5-1
sed 4.10-1
shadow 4.18.0-1
skanlite 26.04.1-1
snapd 2.75.2-1
snapd-glib 1.72-1
spectacle 1:6.6.5-1
spectre-meltdown-checker 26.33.0420460-1
sshfs 3.7.5-1
starship 1.25.1-1
stow 2.4.1-1
strace 7.0-1
sudo 1.9.17.p2-2
sushi 50.0-1
sysfsutils 2.1.1-2
systemd 260.1-2
systemd-sysvcompat 260.1-2
systemsettings 6.6.5-1
tailscale 1.98.2-1
tar 1.35-2
terminus-font 4.49.1-8
texinfo 7.3-1
tilix 1.9.6-9
timeshift 25.12.4-1
tk 8.6.16-1
tlp 1.10.0-1
topgrade 17.5.1-1
torsocks 2.5.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-droid 20121017-11
ttf-inconsolata 1:3.000-5
ttf-indic-otf 0.2-12
ttf-liberation 2.1.5-2
udiskie 2.6.2-1
udisks2 2.11.1-2
unarchiver 1.10.8-6
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
util-linux 2.42.1-1
vcdimager 2.0.1-7
vivaldi 8.0.4033.35-1
wget 1.25.0-5
which 2.23-1
wpa_supplicant 2:2.11-5
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gnome 50.0-1
xdg-desktop-portal-kde 6.6.5-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-elographics 1.4.4-2
xf86-input-evdev 2.11.0-1
xf86-input-libinput 1.5.0-1
xf86-input-void 1.4.2-2
xfsprogs 7.0.1-1
xorg-server 21.1.22-2
xorg-twm 1.0.13.1-1
xorg-xinit 1.4.4-1
xorg-xkill 1.0.7-1
xz 5.8.3-1
yakuake 26.04.1-1
yay 12.5.7-1
yelp 49.1-1
yin-yang 4.0.1-4
yt-dlp 2026.03.17-1
yubikey-manager-qt 1.2.5-2
yubikey-personalization-gui 3.1.25-4
zensu 0.3-7
zlib-ng 2.3.3-1
