feh 3.10.3-1
ffmpeg 2:7.1-3
ffmpeg4.4 4.4.5-1
ffmpegthumbs 24.08.3-2
fftw 3.3.10-7
file 5.46-1
filelight 24.08.3-1
filesystem 2024.11.25-2
findutils 4.10.0-2
firefox 133.0-1
firefox-developer-edition 134.0b5-1
firefox-developer-edition-i18n-en-us 134.0b5-1
firefox-developer-edition-i18n-uk 134.0b5-1
firefox-i18n-en-us 133.0-1
firefox-i18n-uk 133.0-1
flac 1.4.3-2
flashrom 1.4.0-1
flatpak 1:1.15.12-1
flex 2.6.4-5
fluidsynth 2.4.1-1
fmt 11.0.2-1
fnm-bin 1.38.1-1
folks 0.15.9-1
fontconfig 2:2.15.0-2
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-1
foomatic-db-gutenprint-ppds 5.3.4-3
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
frameworkintegration 6.8.0-1
frameworkintegration5 5.116.0-1
freeglut 3.6.0-1
freerdp 2:3.9.0-4
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fwupd 2.0.2-1
fwupd-efi 1.7-1
fzf 0.56.3-1
game-devices-udev 0.23-1
gavl 1.4.0-8
gawk 5.3.1-1
gc 8.2.8-2
gcab 1.6-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdal 3.10.0-1
gdb 15.2-3
gdb-common 15.2-3
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
gdm 47.0-2
gegl 0.4.50-3
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-3
geoip-database 20241116-1
geos 3.13.0-1
gettext 0.22.5-2
ghostscript 10.04.0-1
giflib 5.2.2-1
git 2.47.1-1
git-delta 0.18.2-1
github-cli 2.63.1-1
gjs 2:1.82.1-1
glew 2.2.0-7
glew1.10 1.10.0-4
glib-networking 1:2.80.0-3
glib2 2.82.2-1
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.0.0-2
glu 9.0.3-2
gmp 6.3.0-2
gnome-app-list 1.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 47.0-1
gnome-bluetooth-3.0 47.1-1
gnome-browser-connector 42.1-6
gnome-calculator 47.0-1
gnome-calendar 47.0-1
gnome-characters 47.0-1
gnome-clocks 47.0-1
gnome-color-manager 3.36.0+r62+g82000f1d-1
gnome-console 47.1-1
gnome-contacts 47.0-2
gnome-control-center 47.2-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-font-viewer 47.0-1
gnome-icon-theme 3.12.0-7
gnome-icon-theme-symbolic 3.12.0-6
gnome-keybindings 47.2-1
gnome-keyring 1:46.2-1
gnome-logs 45.0-1
gnome-maps 47.2-1
gnome-menus 3.36.0-3
gnome-music 1:47.1-1
gnome-online-accounts 3.52.2-1
gnome-photos 1:44.0-4
gnome-remote-desktop 47.2-1
gnome-session 47.0.1-1
gnome-settings-daemon 47.2-1
gnome-shell 1:47.2-1
gnome-shell-extensions 47.2-1
gnome-software 47.2-1
gnome-system-monitor 47.0-3
gnome-terminal 3.54.2-1
gnome-text-editor 47.2-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-user-docs 47.2-1
gnome-user-share 47.2-1
gnome-weather 47.0-1
gnupg 2.4.7-1
gnustep-base 1.30.0-1
gnutls 3.8.8-1
go 2:1.23.4-1
gobject-introspection 1.82.0-1
gobject-introspection-runtime 1.82.0-1
gom 0.5.3-1
google-chrome 131.0.6778.108-1
google-chrome-dev 133.0.6876.4-1
gpart 0.3-5
gparted 1.6.0-2
gperf 3.1-5
gperftools 2.16-1
gpgme 1.24.0-1
gpm 1.20.7.r38.ge82d1a6-6
grantlee 5.3.1-2
grantleetheme 24.08.3-1
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.1.2-1
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
groff 1.23.0-7
grub 2:2.12-3
grub-theme-manjaro 20.2-16
gsettings-desktop-schemas 47.1-2
gsettings-system-schemas 47.1-2
gsfonts 20200910-4
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-1
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-devtools-libs 1.24.10-1
gst-editing-services 1.24.10-1
gst-libav 1.24.10-1
gst-plugin-gtk 1.24.10-1
gst-plugin-gtk4 0.13.2-1
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad 1.24.10-1
gst-plugins-bad-libs 1.24.10-1
gst-plugins-base 1.24.10-1
gst-plugins-base-libs 1.24.10-1
gst-plugins-good 1.24.10-1
gst-plugins-ugly 1.24.10-1
gst-python 1.24.10-1
gstreamer 1.24.10-1
gtest 1.15.2-1
gtk-update-icon-cache 1:4.16.7-1
gtk2 2.24.33-5
gtk3 1:3.24.43-4
gtk4 1:4.16.7-1
gtkd 3.10.0-14
gtkmm 1:2.24.5-5
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
gtksourceview5 5.14.2-1
gts 0.7.6.121130-3
guile 3.0.10-1
gupnp 1:1.6.7-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-3
gupnp-igd 1.6.0-1
gutenprint 5.3.4-3
gvfs 1.56.1-1
gvfs-afc 1.56.1-1
gvfs-goa 1.56.1-1
gvfs-google 1.56.1-1
gvfs-gphoto2 1.56.1-1
gvfs-mtp 1.56.1-1
gvfs-nfs 1.56.1-1
gvfs-smb 1.56.1-1
gwenview 24.08.3-1
gzip 1.13-4
hardinfo-git 0.6.alpha.1417.g5996ceb-1
harfbuzz 10.1.0-1
harfbuzz-icu 10.1.0-1
hdf5 1.14.5-1
hdparm 9.65-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.3.0-3
http-parser 2.9.4-2
hunspell 1.7.2-2
hunspell-en_us 2020.12.07-5
hwdata 0.389-1
hwinfo 23.3-1
hwloc 2.11.2-1
hyphen 2.8.8-6
hyphen-en 2.8.8-6
i2c-tools 4.4-1
iana-etc 20241016-1
icu 75.1-1
iio-sensor-proxy 3.5-2
ijs 0.35-6
illyria-wallpaper 1.4-1
imagemagick 7.1.1.41-1
imath 3.1.12-1
imlib2 1.12.3-2
incidenceeditor 24.08.3-1
inetutils 2.5-1
iniparser 4.2.4-1
intel-gmmlib 22.5.2-1
intel-media-driver 24.4.3-1
intel-ucode 20241112-1
inxi 3.3.36.1-2
iproute2 6.12.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
itstool 1:2.0.7-2
iw 6.9-1
jack 0.126.0-5
jansson 2.14-4
jasper 4.2.4-2
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-8
jemalloc 1:5.3.0-4
jetbrains-toolbox 2.5.2.35332-1
jfsutils 1.1.15-9
jp2a 1.3.2-1
jq 1.7.1-2
jre8-openjdk 8.432.u05-1
jre8-openjdk-headless 8.432.u05-1
js115 115.18.0-1
js128 128.5.0-1
json-c 0.18-1
json-glib 1.10.0-1
jsoncpp 1.9.6-3
kaccounts-integration 24.08.3-1
kaccounts-providers 24.08.3-1
kactivities-stats5 5.116.0-1
kactivities5 5.116.0-1
kactivitymanagerd 6.2.4-1
kamera 24.08.3-1
karchive 6.8.0-1
karchive5 5.116.0-1
kauth 6.8.0-1
kauth5 5.116.0-1
kbd 2.6.4-3
kbookmarks 6.8.0-2
kbookmarks5 5.116.0-1
kcalendarcore 6.8.0-1
kcalendarcore5 5.116.0-1
kcalutils 24.08.3-1
kcmutils 6.8.0-1
kcmutils5 5.116.0-1
kcodecs 6.8.0-1
kcodecs5 5.116.0-1
kcolorpicker 0.3.1-4
kcolorpicker-qt5 0.3.1-4
kcolorscheme 6.8.0-1
kcompletion 6.8.0-1
kcompletion5 5.116.0-1
kconfig 6.8.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.8.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.8.0-1
kcontacts5 5.116.0-1
kcoreaddons 6.8.0-1
kcoreaddons5 5.116.0-1
kcrash 6.8.0-1
kcrash5 5.116.0-1
kdbusaddons 6.8.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.2.4-1
kde-gtk-config 6.2.4-1
kdeclarative 6.8.0-1
kdeclarative5 5.116.0-1
kdeconnect 24.08.3-1
kdecoration 6.2.4-1
kded 6.8.0-1
kded5 5.116.0-1
kdegraphics-mobipocket 24.08.3-1
kdegraphics-thumbnailers 24.08.3-1
kdenetwork-filesharing 24.08.3-1
kdepim-addons 24.08.3-1
kdeplasma-addons 6.2.4-1
kdesignerplugin 5.116.0-2
kdesu 6.8.0-1
kdesu5 5.116.0-1
kdiagram 3.0.1-3
kdiagram5 2.8.0-1
kdiff3 1.11.5-1
kdnssd 6.8.0-1
kdnssd5 5.116.0-1
kdoctools 6.8.0-1
kdoctools5 5.116.0-1
kdsoap-qt5 2.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keditbookmarks 24.08.3-1
kemoticons 5.116.0-2
kernel-alive 0.5.1-1
keyutils 1.6.3-3
kfilemetadata 6.8.0-1
kfilemetadata5 5.116.0-2
kfind 24.08.3-1
kgamma 6.2.4-1
kget 24.08.3-1
kglobalaccel 6.8.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.2.4-1
kguiaddons 6.8.0-1
kguiaddons5 5.116.0-1
khelpcenter 24.08.3-1
kholidays 1:6.8.0-1
kholidays5 1:5.116.0-1
khtml 5.115.0-1
ki18n 6.8.0-1
ki18n5 5.116.0-1
kiconthemes 6.8.0-2
kiconthemes5 5.116.0-1
kidentitymanagement 24.08.3-1
kidletime 6.8.0-1
kidletime5 5.116.0-1
kimageannotator 0.7.1-3
kimageannotator-qt5 0.7.1-3
kimageformats5 5.116.0-3
kimap 24.08.3-1
kinfocenter 6.2.4-1
kio 6.8.0-2
kio-extras 24.08.3-2
kio-fuse 5.1.0-3
kio5 5.116.0-1
kirigami 6.8.0-1
kirigami-addons 1.6.0-1
kirigami-addons5 0.11.0-7
kirigami2 5.116.0-1
kitemmodels 6.8.0-1
kitemmodels5 5.116.0-1
kitemviews 6.8.0-1
kitemviews5 5.116.0-1
kitinerary 24.08.3-2
kjobwidgets 6.8.0-1
kjobwidgets5 5.116.0-1
kjs 5.115.0-1
kldap 24.08.3-1
kmailtransport 24.08.3-1
kmbox 24.08.3-1
kmenuedit 6.2.4-1
kmime 24.08.3-1
kmod 33-3
knewstuff 6.8.0-1
knewstuff5 5.116.0-1
knotifications 6.8.0-1
knotifications5 5.116.0-1
knotifyconfig 6.8.0-1
knotifyconfig5 5.116.0-1
kompare 24.08.3-1
konsole 24.08.3-1
konsolepart5 23.08.5-2
kontactinterface 24.08.3-1
konversation 24.08.3-1
kpackage 6.8.0-1
kpackage5 5.116.0-1
kparts 6.8.0-1
kparts5 5.116.0-1
kpeople 6.8.0-1
kpeople5 5.116.0-1
kpeoplevcard 0.1-2
kpimtextedit 24.08.3-1
kpipewire 6.2.4-1
kpkpass 24.08.3-1
kpmcore 24.08.3-1
kpty 6.8.0-1
kpty5 5.116.0-1
kquickcharts 6.8.0-1
kquickcharts5 5.115.0-1
krb5 1.21.3-1
krename 5.0.2-10
krunner 6.8.0-1
krunner5 5.115.0-4
krusader 2.8.1-1
ksanecore 24.08.3-1
ksanecore5 24.08.3-1
kscreen 6.2.4-1
kscreenlocker 6.2.4-1
kservice 6.8.0-1
kservice5 5.116.0-1
ksmtp 24.08.3-1
ksshaskpass 6.2.4-1
kstatusnotifieritem 6.8.0-1
ksvg 6.8.0-1
ksystemlog 24.08.3-1
ksystemstats 6.2.4-1
ktextaddons 1.5.4-1
ktexteditor 6.8.0-1
ktexteditor5 5.116.0-1
ktexttemplate 6.8.0-1
ktextwidgets 6.8.0-2
ktextwidgets5 5.116.0-1
ktnef 24.08.3-1
kunitconversion 6.8.0-1
kunitconversion5 5.116.0-1
kuserfeedback 6.8.0-1
kwallet 6.8.0-1
kwallet-pam 6.2.4-1
kwallet5 5.116.0-1
kwalletmanager 24.08.3-1
kwayland 6.2.4-1
kwayland-integration 6.2.4-1
kwayland5 5.116.0-1
kwidgetsaddons 6.8.0-1
kwidgetsaddons5 5.116.0-1
kwin 6.2.4-2
kwindowsystem 6.8.0-1
kwindowsystem5 5.116.0-1
kwrited 6.2.4-1
kxmlgui 6.8.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.0-5
layer-shell-qt 6.2.4-2
lcms2 2.16-1
ldb 2:4.21.2-1
ldns 1.8.4-1
lensfun 1:0.3.4-4
less 1:668-1
lhasa 0.4.0-1
lib32-alsa-lib 1.2.13-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.54.0-2
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.2-2
lib32-colord 1.4.7-1
lib32-curl 8.11.0-1
lib32-dbus 1.14.10-2
lib32-dbus-glib 0.112-3
lib32-e2fsprogs 1.47.1-1
lib32-expat 2.6.4-1
lib32-flac 1.4.3-2
lib32-fontconfig 2:2.15.0-1
lib32-freeglut 3.6.0-1
lib32-freetype2 2.13.3-2
lib32-fribidi 1.0.16-1
