7zip 24.09-3
manjaro-printer 20240827-1
manjaro-release 25.0.6-1
manjaro-settings-manager-kcm 0.5.7-21
manjaro-settings-manager-knotifier 0.5.8-6
manjaro-system 20230401-1
manjaro-wallpapers-18.0 1.4-4
mdadm 4.4-1
memtest86+ 7.20-2
mesa-demos 9.0.0-7
mhwd 0.6.6-5
mhwd-db 20250113-1
micro 2.0.14-1
milou 6.3.6-1
mkinitcpio-openswap 0.1.1-1
mobile-broadband-provider-info 20250613-1
modemmanager 1.24.0-2
mpd 0.24.4-2
mpv 1:0.40.0-4
mtpfs 1.1-5
nano 8.5-1
neofetch 7.1.0-2
networkmanager 1.52.1-1
networkmanager-openconnect 1.2.10-3
networkmanager-openvpn 1.12.0-1
networkmanager-pptp 1.2.12-6
networkmanager-vpnc 1.4.0-1
nfs-utils 2.8.3-2
nginx 1.28.0-4
nix 2.30.1-2
noto-fonts 1:2025.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-3
numlockx 1.2-6
nvidia-prime 1.0-5
nvidia-settings 575.64.03-1
nvidia-utils 575.64.03-1
obs-studio 31.0.4-1
okular 25.04.3-1
onefetch 2.25.0-1
openresolv 3.17.0-1
openssh 10.0p1-3
orca 48.6-1
os-prober 1.83-1
otf-aurulent-nerd 3.4.0-1
oxygen-icons 1:6.1.0-2
oxygen5 6.3.6-1
pacman 7.0.0.r10.ga2d0293-3
pacman-contrib 1.12.0-1
pamac-cli 11.7.3-2
pamac-gtk 11.7.3-3
pamac-tray-icon-plasma 0.1.3-3
partitionmanager 25.04.3-1
pciutils 3.14.0-1
perl 5.42.0-1
perl-file-mimeinfo 0.35-3
pgweb-bin 0.16.2-1
phonon-qt5-gstreamer 4.10.0-4
pick-colour-picker 1.51-1
plasma-browser-integration 6.3.6-1
plasma-desktop 6.3.6-1
plasma-nm 6.3.6-1
plasma-pa 6.3.6-1
plasma-simplemenu 1.0.12-1
plasma-systemmonitor 6.3.6-1
plasma-workspace 6.3.6-1
plasma-workspace-wallpapers 6.3.6-1
playerctl 2.4.1-4
poppler-data 0.4.12-2
portaudio 1:19.7.0-3
postgresql-libs 17.5-3
powerdevil 6.3.6-1
powertop 2.15-2
print-manager 1:6.3.6-2
procps-ng 4.0.5-3
psensor 1.2.1-4
psmisc 23.7-1
pulseaudio-ctl 1.70-2
pyenv 1:2.6.4-1
python-numpy 2.3.1-1
python-pillow 11.3.0-1
python-pip 25.1.1-1
python-pyaudio 0.2.14-4
python-pyqt5 5.15.11-2
python-pysmbc 1.0.25.1-4
python-reportlab 4.2.2-5
python-websockets 15.0.1-1
python-wheel 0.45.1-1
qt5-imageformats 5.15.17+kde+r2-1
qt5-translations 5.15.17-1
qt5-virtualkeyboard 5.15.17-1
qt5-websockets 5.15.17+kde+r2-1
redshift 1.12-14
reiserfsprogs 3.6.27-5
reqable-bin 2.33.12-1
rhythmbox 3.4.8-3
rpi-imager 1.9.3-1
rsync 3.4.1-2
rustup 1.28.2-3
rygel 1:0.44.2-3
s-nail 14.9.25-1
samba 2:4.22.3-1
sddm 0.21.0-6
sddm-kcm 6.3.6-1
sed 4.9-3
shadow 4.18.0-1
skanlite 25.04.3-1
snapd 2.70-2
snapd-glib 1.70-1
spectacle 1:6.3.6-1
spectre-meltdown-checker 0.46+23+g0f2edb1-1
spotify 1:1.2.63.394-1
sshfs 3.7.3-3
starship 1.23.0-1
steam 1.0.0.83-1
sudo 1.9.17.p1-1
sushi 46.0-2
sysfsutils 2.1.1-2
systemd 257.7-1
systemd-fsck-silent 239-1
systemd-kcm 1.2.1-8
